BI_COMPOSITE_DNP_SBS1_P	BI_COMPOSITE_DNP_SBS2_P	BI_COMPOSITE_DNP_SBS3_P	BI_COMPOSITE_DNP_SBS4_P	BI_COMPOSITE_DNP_SBS5_P	BI_COMPOSITE_DNP_SBS6_S	BI_COMPOSITE_DNP_SBS7a_S	BI_COMPOSITE_DNP_SBS7b_S	BI_COMPOSITE_DNP_SBS7c_S	BI_COMPOSITE_DNP_SBS8_P	BI_COMPOSITE_DNP_SBS9_P	BI_COMPOSITE_DNP_SBS10a_S	BI_COMPOSITE_DNP_SBS11_S	BI_COMPOSITE_DNP_SBS12_P	BI_COMPOSITE_DNP_SBS13_P	BI_COMPOSITE_DNP_SBS14_S	BI_COMPOSITE_DNP_SBS15_S	BI_COMPOSITE_DNP_SBS16_P	BI_COMPOSITE_DNP_SBS17a_P	BI_COMPOSITE_DNP_SBS17b_P	BI_COMPOSITE_DNP_SBS18_P	BI_COMPOSITE_DNP_SBS19_P	BI_COMPOSITE_DNP_SBS21_S	BI_COMPOSITE_DNP_SBS22_P	BI_COMPOSITE_DNP_SBS26_S	BI_COMPOSITE_DNP_SBS28_P	BI_COMPOSITE_DNP_SBS30_P	BI_COMPOSITE_DNP_SBS33_P	BI_COMPOSITE_DNP_SBS35_P	BI_COMPOSITE_DNP_SBS36_P	BI_COMPOSITE_DNP_SBS37_P	BI_COMPOSITE_DNP_SBS38_S	BI_COMPOSITE_DNP_SBS39_P	BI_COMPOSITE_DNP_SBS40_P	BI_COMPOSITE_DNP_SBS60_P	BI_COMPOSITE_DNP_SBS55_S	BI_COMPOSITE_DNP_SBS44_S	BI_COMPOSITE_DNP_SBS61_S	BI_COMPOSITE_DNP_SBS62_S	BI_COMPOSITE_DNP_SBS63_S	BI_COMPOSITE_DNP_SBS64_P	BI_COMPOSITE_DNP_SBS65_S	BI_COMPOSITE_DNP_SBS66_S	BI_COMPOSITE_DNP_SBS67_S	BI_COMPOSITE_DNP_SBS68_P	BI_COMPOSITE_DNP_SBS69_P	BI_COMPOSITE_DNP_SBS70_P	BI_COMPOSITE_DNP_SBS71_P	BI_COMPOSITE_DNP_SBS72_P	BI_COMPOSITE_DNP_SBS73_S	BI_COMPOSITE_DNP_SBS74_S	BI_COMPOSITE_DNP_SBS75_S	BI_COMPOSITE_DNP_SBS76_S	BI_COMPOSITE_DNP_SBS77_P	BI_COMPOSITE_DNP_SBS78_S	BI_COMPOSITE_DNP_SBS79_S	BI_COMPOSITE_DNP_SBS80_P	BI_COMPOSITE_DNP_SBS81_P	BI_COMPOSITE_DNP_SBS82_P	BI_COMPOSITE_DNP_SBS83_P	feature
0	0	0.007546077	0.003639258	0.002657367	0	6.63e-09	0.015226016	0.016433597	0.048916405	0.032094777	0.015228323	0.004781032	0.003796672	0.039269348	0.001259187	0.001689846	0	0.001026653	0	0	0	0	0.003237338	0	0	0.106469107	0	0.000638303	0.01182726	0.000841759	0.000860835	0.010069411	0.006900809	NA	4.94065645841247e-324	0	0	0	0	0	0.012882055	0	0	0	0.021663693	0.167377606	0	0.05411041	0	0	0.016959813	0	0	0.004478033	4.94065645841247e-324	0.006416927	0	0	0	CC>GT
0	0.008173232	0.017171532	0	0.022874542	0	0.023016306	0.015899819	0.054049365	0.055652642	0.011940683	0	0.101924229	0	0.074538561	0.098817899	0.005940949	0	0	0	0	0	0	0.003170958	0	0	0	0	0.020216659	0	0	0.054536714	0	0.015622362	NA	4.94065645841247e-324	0	0.012858897	0.024081222	0.022580824	0.176233208	0.010641159	0.078512835	2.65e-305	0	0.044560054	0	0	0	0	0	0.025827031	0	0	1.48219693752374e-323	4.94065645841247e-324	0	0	0.077968414	0	CC>TA
0	0	0.003024485	0.001098109	0.001995792	9.88131291682493e-324	9.37e-08	0.007028159	0.002600475	0.044412526	0.011143742	0	0.022264266	0	0.008721688	0	0.000693609	0	0	0	0	0	0	0	0	0	0.005518553	0	0.008522688	0.031537883	0.00103384	0.033578479	0.016065633	0.007884068	NA	0.0483949	0.003710554	0	7.35e-265	0.0002285	0	0.006833978	0	0	0	0.018145664	0	0.025698688	0.026493485	0	0	0.003493828	0	0	0	4.94065645841247e-324	0.014224576	0	0	0	CC>TG
0	0.612079041	0	0.026057049	0.00495021	0	0.696819345	0.841173784	1.96e-207	0	0.074309204	1.48219693752374e-323	1.97626258336499e-323	0	0.186676204	0.066832642	4.94065645841247e-324	0	0	0	0	6.13e-15	4.94065645841247e-324	0	0	0	0.49616457	0	0.004836554	0.05356275	0	1.48219693752374e-323	0	0.018752878	NA	4.94065645841247e-324	0	0	4.94065645841247e-324	0	0	0.748486827	0	0.697701521	0.03267919	0.265546076	0	0	0.128114239	0	0	0.755172083	0	0	6.12e-146	4.94065645841247e-324	0.014138423	0	0	0	CC>TT
0	0	0.001810231	0.004286926	0.001046157	0	0	0	0	0	0	0	0	0	0.00174854	0	0	0.000390193	0	0	0	0	0	0.002730546	0	0	0.022381484	0	0.001358364	0	0	0.003604745	0	0.000157028	NA	0	0	1.6e-147	0.001313521	0.000834813	0	0	9.88131291682493e-324	0	0	0	0	0	0.002330905	0	0	0.000144715	0	0.001634138	0	0	0	0	0	0	CG>AT
0	0	0	0.00143221	3.42e-09	0	0	1.28e-05	0	0	0.000326258	0	0	0	0	0	0	0	0	0	0	0	0.008131985	0	0	0	0	0	0	0	0	0	0	0	NA	0	0.002276238	0	0	0	0	0	0	8.42e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018846102	0	0	CG>GC
0	0	0	0.005740828	0.000244947	0	0	2.89e-05	3.95e-05	0	0	0	0	0	0.001379756	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003418427	0	0.002188941	0.006754986	0	4.95e-05	NA	0.011927878	0	0	0	0	0.008108554	0	0	0	0	0	0	0	0	0	0	0	0	0.00058941	0	0	0	0.050564413	0	0	CG>GT
0.477606419	0	0.000190369	0.000608414	0.000206264	0	0.001909567	0	0.003505915	0.001603714	0	1.48219693752374e-323	0	0	0	0.109971317	0.46710639	0	0	0	0	0	0	0	0	0	0	0	0.00024617	0	0	0	0.000855728	0.000737784	NA	0	0	0.076109943	0.727258184	0.035680488	0	0.000868111	0.16268293	0	0	0	0	0	0.005825582	0.015145409	1	0	0	0	0.217233118	4.94065645841247e-324	0.007044657	0	0	0.142460358	CG>TA
0	0	0	0.009908702	0.000525588	4.94065645841247e-324	0	4.77e-05	0.000662115	0	0	0	0.00730524	0	0	0	0.001494946	0	0	0	7.82e-05	0	0.015299909	0	0	0	0	0	0	0	0.013072138	4.94065645841247e-324	0	0.000689604	NA	0.004059658	0.007847395	0	0	0.000808558	0	0	0.001912151	0	0	0	0	0.00315175	0	0	0	6.95e-211	0	0	0.010646516	0	0	0	0	0	CG>TC
0	0	0.005421594	0.015001643	0.004010052	1.85e-88	0.001159539	0.000166046	0.00036945	0.022559596	0	0.066452838	0	0	0	0.01333568	0.002766256	0	0	0.002166439	0	0	0	0	0	0	0.003328072	0	0.003657206	0	0.013326082	0.006108786	0	0.000690853	NA	0.0141805	0.009764145	0.005846816	0.009215967	0.009362684	0.042647586	6.24e-43	0.0022463	0	0	0	0	0.00081153	0.003449979	0	0	0	0	0.001921683	0.000779951	4.94065645841247e-324	0	0	0	0	CG>TT
